Stock_Level,Supplier_Lead_Time,Price_Per_Unit,Weather_Index
0.6045054,0.5077058,0.6258856,0.58307207
0.65158,0.64375776,0.61720985,0.6338416
0.60641265,0.57136995,0.6588969,0.5899226
0.6972442,0.6554277,0.58187705,0.642153
0.6358979,0.6059304,0.6020244,0.58843195
0.5815743,0.70901024,0.77495754,0.65246284
0.7183759,0.59430873,0.6973112,0.7123724
0.6668472,0.7148933,0.6445821,0.6825252
0.6812839,0.6207207,0.63799053,0.63952917
0.6856465,0.6367202,0.6327263,0.65703994
0.52636254,0.63234615,0.66851115,0.59599894
0.6330123,0.57715285,0.60071707,0.54984754
0.6933073,0.6391543,0.7026671,0.71648437
0.6533072,0.6263053,0.6678249,0.7011923
0.67147285,0.6256002,0.6092722,0.6126321
0.54561365,0.60334903,0.6307931,0.5745481
0.587928,0.65870345,0.7453653,0.68111396
0.6557304,0.57400095,0.7375224,0.59852135
0.6926856,0.6824838,0.6408263,0.6533138
0.6673143,0.7053972,0.66468036,0.62070173
0.6709499,0.59707916,0.6702489,0.6711028
0.70302093,0.6431016,0.6422493,0.701908
0.6473381,0.6791203,0.6169962,0.65897894
0.6455784,0.6190379,0.65032685,0.6466959
0.60536194,0.5777497,0.70813507,0.53734314
0.6168161,0.6413718,0.6786609,0.6422661
0.59887755,0.6176634,0.6134794,0.5944218
0.70380574,0.58445305,0.6639544,0.6834878
0.63599676,0.6013043,0.6531539,0.59846896
0.63280135,0.56651306,0.6566657,0.6092635
0.70075524,0.6830425,0.6777767,0.73688245
0.5820735,0.5707109,0.6765211,0.6322265
0.6054656,0.659642,0.57597315,0.5952859
0.63997203,0.6073671,0.59182674,0.55916643
0.6544054,0.7347592,0.6586593,0.7038268
0.64204556,0.57980585,0.6414923,0.6203953
0.6533203,0.56059897,0.6308545,0.5932838
0.630076,0.5507833,0.6392581,0.55879986
0.6597681,0.5823759,0.63825434,0.62205136
0.66350704,0.6748441,0.62082607,0.6578809
0.64577407,0.62287486,0.5884939,0.6624888
0.57977355,0.6227112,0.61584234,0.6025729
0.6791938,0.57753557,0.59190017,0.6317474
0.6188965,0.57306945,0.59223473,0.60046023
0.6717286,0.5685516,0.6617703,0.66914874
0.6286053,0.5780666,0.69181746,0.65236145
0.6174157,0.64171326,0.7730229,0.677382
0.656728,0.64765614,0.6340392,0.66051394
0.5799215,0.5162478,0.6036717,0.59182185
0.7156876,0.67778134,0.65662223,0.7453891
0.6308906,0.5953846,0.6527764,0.6263688
0.6981298,0.63760716,0.611989,0.65750504
0.5894745,0.6562327,0.58625823,0.57362914
0.6875714,0.68671036,0.68273026,0.6458551
0.5525303,0.6310687,0.60106504,0.57413805
0.61688495,0.5806559,0.65940404,0.60618705
0.57876384,0.5512564,0.5700299,0.5851729
0.64233416,0.6663368,0.6946161,0.6579362
0.6292579,0.61024773,0.66888666,0.59188485
0.5907045,0.52288,0.67951775,0.5775928
0.5938107,0.5989858,0.65909064,0.594447
0.58940715,0.6066374,0.64051646,0.58268803
0.63777953,0.56683576,0.6840519,0.6241181
0.62230057,0.7315886,0.7202778,0.7045061
0.63420546,0.6111959,0.6531553,0.60341275
0.6467768,0.5950544,0.63124704,0.5994807
0.6097305,0.5041028,0.64660853,0.56228524
0.59452885,0.4945964,0.64908856,0.5734756
0.67433447,0.6874711,0.7072862,0.6729015
0.6352998,0.5622255,0.69398195,0.6253796
0.63118273,0.63269114,0.6117026,0.65216166
0.6083187,0.6457287,0.5926205,0.62074643
0.79513806,0.61523145,0.7159766,0.7529927
0.66140336,0.6184124,0.6694548,0.7268454
0.5773365,0.55834264,0.5987702,0.598016
0.652924,0.61584026,0.6455794,0.65291554
0.6079654,0.5615164,0.6722552,0.6088386
0.6779938,0.57672346,0.5612771,0.62876606
0.60626024,0.6190346,0.7226541,0.6297285
0.68365383,0.5910714,0.6410468,0.6724606
0.70334756,0.62873715,0.64441955,0.6605042
0.6255543,0.5949065,0.65513676,0.6354288
0.62976813,0.6447592,0.6057359,0.65960944
0.589287,0.6839832,0.6774302,0.6752216
0.6245427,0.61727685,0.67571604,0.70540744
0.6285254,0.5012985,0.634792,0.5918844
0.6840676,0.5870879,0.63541687,0.6601151
0.5842813,0.55835193,0.6301801,0.6015743
0.63032264,0.60024065,0.6003559,0.5667913
0.6845062,0.6583591,0.67733246,0.67660344
0.57505345,0.7120393,0.69529384,0.6613728
0.70382553,0.56987673,0.6288674,0.6463121
0.56136626,0.670042,0.6752605,0.6357419
0.68801486,0.63414717,0.64737505,0.614588
0.63653105,0.60382545,0.662209,0.5470169
0.6287185,0.6113727,0.5884533,0.6371934
0.64241374,0.61085045,0.6539856,0.6333801
0.64024216,0.6710002,0.66469336,0.6530535
0.60646826,0.56029814,0.6810107,0.6046446
0.6457441,0.63341635,0.6125402,0.64341116
